blunt	钝
toyon	类似枸骨而结红果实的常绿树
Eurasian badger	獾
ecdysiast	脱衣舞女
right whale	露脊鲸
flirtatiously	吊膀子
firstly	首先
overlap	重叠
compass	指南针
acceleration	加速度
sweeper	清扫夫
tacit	缄默的
snort	哼
immunological	免疫学的
navigational	航行的
pager	呼叫器
paraphilia	性欲倒错
semiconducting	半导电
tetroxide	四氧化物
viceroy	总督
farsightedness	䁏
lastly	最后
Nov	11月
green tea	绿茶
hand grenade	手榴弹
horse race	赛马
Ghana	加纳
candor	坦白
datum	资料
askew	歪
outrage	暴行
singular	单数
unclean	薉
consecutive	连续的
worrisome	令人烦恼的
Provence	普罗旺斯
duckboard	挡雪板
husband	丈夫
excitement	兴奋
concreteness	有形
life style	生活方式
anarchy	无政府状态
almond tree	扁桃
algology	藻类学
French Canadian	法裔加拿大人
terce	第三祷告时
strip	条
treble	三倍
dividend	被除数
method	方法
propitiation	安抚
aromatic	馚
uppermost	最高的
blip	影像
Sagittarius	人马座
finalize	使结束
avariciously	贪婪地
matrilineal	母系的
osteologist	骨骼学家
patronymic	父名
brochure	小册子
identity matrix	单位矩阵
Dijon	第戎
Caesaropapism	政教合一
cannonball	炮弹
southwest by south	西南偏南
Union of Soviet Socialist Republics	苏维埃社会主义共和国联盟
detect	发觉
papule	丘疹
barrage	弹幕
sway	晃
newsroom	编辑部
carbine	卡宾枪
Syrian	叙利亚人
cannibal	食人者
vasectomy	输精管切除术
mantelpiece	壁炉架
muff	皮手筒
namesake	同名
obfuscate	弄暗
earring	耳环
au pair	互惠生
partial differential equation	偏微分方程
Judah	犹大
nonmetal	非金属
sister ship	姐妹船
Tanzania	坦桑尼亚
jihad	圣战
theorist	理论家
strap	带
trouble	麻烦
representative	代表
custard apple	番荔枝
dura mater	硬脑膜
pennyroyal	薄荷类
obviously	明显地
butterbur	菊科蜂斗菜属
hypocycloid	圆内旋轮线
serialism	十二音阶
sunfish	翻车鱼
tadpole	蝌蚪
gallstone	胆石症
military police	警方
varicose vein	静脉曲张
Angevin	安茹人
Thai	泰语
plywood	胶合板
duster	撢
manner	方式
turn away	走开
malaria	疟疾
phloem	韧皮部
perspire	出汗
magnetic variation	磁性变化
economical	倹
translation	翻译
electrical	电的
unquestioning	不加疑问的
shell game	骗局
British Isles	英伦诸岛
Grenoble	格勒诺布尔
pantheon	众神庙
rivalry	对抗
acid test	酸性试验
simplicity	单纯
lift	电梯
tamarisk	柽
entrepreneur	企业家
noun	名词
kowtow	磕头
diaspora	离散
calmly	平静地
homing pigeon	信鸽
amputee	被截肢者
salted	咸
mutton	羊肉
debut	初次登场
explore	探险
prep	准备功课
pug nose	狮子鼻
mustard oil	芥子油
Eve	夏娃
dative case	与格
redetermine	重新决定
prime	首
he	他
enslave	奴役
baddie	坏人
den	窠
module	模块
admonish	戒
osteodystrophy	骨营养不良
agricultural	农业的
refractometer	折射计
polka	波尔卡舞
preparedness	充实军备
vocalic	元音的
woodcraft	森林知识
conflict of interest	利益冲突
sima	硅镁带
honey locust	皂荚树
Afghanistan	阿富汗
damn	呪
slip	滑
sexual relation	性交
belfry	钟楼
malformation	畸形
rotor	转子
Azeri	阿塞拜疆语
intestine	肠
triumphant	凯
coaxial	同轴的
intrusive	打扰的
jerkin	短上衣
ocarina	陶笛
set point	凝结点
translator	译者
Nazism	纳粹主义
pedicure	修脚
cable television	有线电视
cocktail dress	小礼服
artisan	工匠
gangster	匪徒
involve	累
hospitalization	住院
knife	刀
chorus	合唱
pantomime	哑剧
generator	发电机
specialist	专家
spoilage	损耗
opportune	适当的
deranged	有精神病
oatmeal	燕麦片
camaraderie	友情
malpractice	渎职
guano	海鸟粪
mohair	马海毛
Iberian Peninsula	伊比利亚半岛
granulated sugar	砂糖
European smelt	胡瓜鱼
Mumbai	孟买
Seine	塞纳河
large intestine	大肠
expression	表情
wear	穿
mosque	清真寺
computer science	计算机科学
self-propelled	自力推进的
chug	轧轧声
harmlessly	无害地
memorandum	备忘录
paraphrase	释义
Apocalypse	启示录
feudal lord	䩗
weather forecast	天气预报
Master of Arts	文学硕士
comport	举动
participation	参与
methylated spirit	变质酒精
guacamole	鳄梨酱
business	商
spectacular	壮观
back and forth	来回
windpipe	气管
expertise	专门知识
pipe cleaner	洗管器
fuzzy	眬
parachute	降落伞
apocarpous	心皮离生的
repentant	后悔的
beetle	甲虫
deductible	可扣除的
masses	群众
loved	爱的
cold war	冷战
voltmeter	电压表
counterblow	反击
actinomycete	放线菌
Taoism	道教
injectable	血管注射剂
strike	打
annihilate	歼
put forward	提出
ephedrine	麻黄素
sprawl	蔓生
heredity	遗传
intersection	交集
openness	宽阔
syrinx	鸣管
holly	冬青
rainbow trout	虹鳟鱼
CJD	克雅氏病
penalize	罚
entrench	保卫
probably	或许
conflagration	大火
steam boiler	蒸汽锅炉
souvenir	纪念品
pole vault	撑竿跳高
demon	魔鬼
collect	收集
fabrication	制造
paleness	苍白
indigent	贫乏的
denationalize	开除国籍
guest worker	外籍劳工
Hindi	印地语
stiff-necked	顽固的
magnificently	堂皇地
crowberry	岩高兰
decoration	装饰品
private eye	私家侦探
gold rush	淘金热
cardiovascular disease	心血管疾病
chyle	乳糜
voluntary muscle	随意肌
unpaved	没有铺石砖的
conic section	二次曲线
easygoing	懒散的
dance	跳舞
glen	幽谷
hack	砍
Arthurian	亚瑟王的
corky	软木的
aerobic	好氧性的
amphitheatre	圆形剧场
woozy	糊涂的
faience	精巧彩色陶器
farrier	蹄铁匠
night	夜
okapi	霍加狓
toll call	收费的长途电话
Majorca	马略卡
shop window	橱窗
vet	兽医
water buffalo	水牛
varna	瓦尔纳
condition	条件
margin	边
arsenic	砷
martial art	武术
wise	明智
grief	悲伤
insulator	绝缘体
finagle	欺瞒
densitometry	光密度分析法
Delphinus	海豚座
contrarily	反之
apsis	拱点
beatnik	奇装异服言行乖僻的人
gratuitous	免费的
otorhinolaryngology	耳鼻喉科学
anion	阴离子
marbles	弹球
agate	瑙
tortfeasor	犯侵权行为的人
Nubia	努比亚
Potsdam	波茨坦
Belgrade	贝尔格莱德
farthing	一点儿
bark	树皮
eudiometer	测气管
assisted suicide	辅助自杀
contracture	挛缩
sustainable	可持续的
Dantesque	但丁式的
philanthropic	博爱的
jalousie	百叶窗
strikingly	醒目地
phosphoric	磷的
Solomon	所罗门
topography	地形
Sargasso Sea	马尾藻海
attorney	律师
greaves	脂渣
tadpole shrimp	鲎虫
froth	泡沫
degree	度
possibility	可能性
remit	赦
hillside	坡
forester	林务官
cannery	罐头工厂
ethnological	人种学的
homonym	同音异义字
impracticability	无法实施
prefatory	序文的
marvel	㤞
plutocratic	财阀的
undine	洗眼壶
whoop	喘息声
stock up	备货
shrike	伯劳鸟
absolution	赦免
fur coat	裘
hawksbill turtle	玳瑁
tumefy	肿大
downgrade	黜
mugger	泽鳄
modifier	修正的人
wheat germ	小麦胚芽
needless	不必要
rick	干草堆
ineffable	说不出的
lob	蹒跚地走
mesophyte	中生植物
outwardly	外表上
perpetually	永恒地
allyl	烯丙基
look back	顾
Ljubljana	卢布尔雅那
soccer player	足球运动员
demilitarized zone	非军事区
adequacy	适当
Arcadian	阿卡迪亚人
pasque flower	朝鲜白头翁
Korean Peninsula	朝鲜半岛
superior	上
pissed	醉的
bin	囤
inheritance	遗产
disservice	伤害
burnish	磨光
lily of the valley	铃兰
compact disk	光盘
cob	圆块
capitulation	投降
enthuse	使热心
jeopardize	危害
nostalgic	乡愁的
notebook	本子
seductress	勾引男人的女人
passageway	通路
magnetic flux density	磁通密度
Magha	印度历的11月
Nagoya	名古屋
calumny	中伤
barrier	障碍物
cheat	欺骗
idiot light	灯塔
aggravate	加重
chuffed	开心的
deathless	不死的
gingerbread	姜饼
siemens	西门子
Robin Hood	罗宾汉
aesthetics	美学
Viagra	伟哥
sports jacket	运动夹克
karat	开
emotion	情
rib cage	胸膛
domino effect	多米诺效应
mercy	慈悲
spy	间谍
Gothic	哥特语
lease	租
stove	炉
heterozygote	异质接合体
wilderness	荒野
Negro	黑人
Kansas City	堪萨斯城
etymological	语源的
initiate	倡
naming	命名
viviparous	胎生的
signboard	招牌
epee	重剑
biocatalyst	生物催化剂
bronchus	支气管
side street	小街
thick-knee	石鸻
commonly	一般
personality	性格
carnage	大屠杀
summarize	总结
go for	去找
agonist	促效药
pigmentation	着色
dry	干
prim	规规矩矩的
antineutron	反中子
collie	牧羊狗
waviness	波度
decorator	油漆工
dhole	凶猛的野犬
soft-boiled	半熟的
steering	指导
invertebrate	无脊椎动物
laser	激光
oil shale	油页岩
integral calculus	积分学
humane	有人情
alligator	鳄
sheet metal	金属片
vanadium	钒
antipodal	对跖的
corkscrew	瓶塞钻
crab	蟹
dauphin	法国皇太子
fetal	胎儿的
rhumb line	等方位线
microfilm	微缩胶卷
smile	笑
optimist	乐天派
red light	红灯
blowjob	口交
Valparaiso	瓦尔帕莱索
needlework	黹
angular momentum	角动量
annelid	环节动物
electrocardiogram	心电图
hamburger	汉堡包
patience	耐性
abbot	方丈
exploitation	开采
meticulous	过细的
consultant	顾问
methodological	方法的
appropriately	适当地
colitis	结肠炎
tambourine	铃鼓
turbojet	涡轮喷气发动机
dialectical materialism	辩证唯物主义
ant	蚂蚁
shithead	脑残
pervade	彻
codeine	可待因
outsell	卖得多
postage meter	邮资计算器
aside	一旁
accident	事故
bogeyman	魔鬼
knightly	骑士的
BMR	BMR
blotter	记事簿
Vanuatu	瓦努阿图
chamois	臆羚
waitress	女服务生
rod-shaped	杆状的
beatify	行宣福礼
hypnotist	催眠士
nougat	牛轧糖
pardon	赦免
from pillar to post	东奔西跑
zabaglione	意大利菜肴
convalescence	恢复期
joint-stock company	股份公司
potter	陶工
colleague	同僚
coincidence	巧合
blindness	失明
unable	㑣
phosphorescence	磷光
dermatology	皮肤病学
actinometer	光化线计
ribald	卑贱的
checkroom	衣帽寄放处
diorite	闪长岩
jingoism	主战论
minuet	小步舞曲
medical history	病历
whodunit	侦探小说
Lyme disease	莱姆病
puma	美洲狮
Aegina	钵水母
pound-foolish	省小钱吃大亏的
Shetland pony	设得兰矮种马
Bucharest	布加勒斯特
Shetland Islands	设德兰群岛
weapon	武器
emplacement	放列动作
warden	看守人
Latin alphabet	拉丁字母表
sorption	吸着
orlop	最下层甲板
coccygeal	尾骨的
dace	榛
draughtsman	绘图员
eightfold	八倍的
induction	归纳法
summery	夏天似的
euphuism	夸饰文体
faux	咽门
Bank of England	英格兰银行
cockfight	斗鸡
airscrew	螺旋桨
Vilnius	维尔纽斯
Spain	西班牙
persistent	固执
Triangulum	三角座
pliant	柔
hussy	贱妇
puerperium	产褥期
regenerate	重建
foliage	叶子
trigger	扳机
siliceous	硅酸的
kelp	海带
totipotency	全能性
Disney	迪斯尼
fiduciary	受托人
parliamentary	国会的
falconer	养鹰者
darts	飞镖
globalisation	全球化
regular	常
prevent	防止
coop	监狱
acid	酸
gigabyte	十亿字节
tartaric acid	酒石酸
floozie	放荡女
lintel	楣
expressway	高速公路
past perfect	过去完成时
caffeine	咖啡因
King James Version	钦定版圣经
articulation	关节
yen	日圆
collude	串通
North Star	北极星
lysergic acid	麦角酸
herm	头像方碑
gang	党
threefold	三倍的
frustrate	挫败
nil	零
overabundant	太充足的
captivity	囚禁
gilded	镀金的
bankable	银行能接受的
prejudicial	存有偏见的
evolutionism	进化论
lawn	草坪
survivor	幸存者
globefish	鲀
juxtaposed	并列
hydrolyze	水解
electromagnetic wave	电磁波
axiology	价值论
atomic mass	原子量
squirting cucumber	喷瓜
rete testis	睾丸网
North Korea	朝鲜
definitely	肯定
generalize	普遍化
rapport	互信
ingenuity	创造力
functional	功能的
solve	解决
Carolingian	王朝的
hangman	刽子手
ungual	爪的
matinee	白天音乐会
propaedeutic	预备的
steerageway	舵效航速
distrust	疑惑
ambidexterity	怀二心
cotton candy	棉花糖
Sufism	苏非主义
mess up	䵦
thallus	叶状体
solenoid	螺线管
Abu Dhabi	阿布扎比
dime	一角硬币
extremity	末端
hippocampus	海马体
steroid	类固醇
coca	古柯
polite	有礼貌
fungus	真菌
declination	赤纬
clear-sighted	慧眼的
genuine	真
seaweed	海带
theosophy	接神论
bull market	牛市
neoliberalism	新自由主义
Turkish bath	土耳其浴
direct flight	直飞
first base	一垒的位置
Atropos	阿特罗波斯
pool	池
missing	䏚
manna	吗哪
forklift	铲车
smart card	智能卡
immune response	免疫应答
tellurium	碲
beautifully	美丽
verifiable	能作证的
obtainable	能得到的
know-it-all	自称无所不知的
thermoelectric	热电的
diametrically	作为直径地
fire door	防火门
Euclidean geometry	欧几里德几何
time machine	时间机器
country music	乡村音乐
brunch	早午餐
overflight	飞越领空
Algeria	阿尔及利亚
deserve	配
impression	印象
entirety	全部
muriatic acid	盐酸
receiver	接收器
cask	桶
spiny lobster	大螯虾
obvious	明显
reliability	可靠性
counteraction	反动
neoclassical	新古典主义的
prognathous	下巴突出的
thematic	主题的
ratafia	果酒
Jeddah	吉达
draw the line	划一界线
turkey	火鸡
persistence	坚持
beastly	如兽的
runner	跑步者
absorbency	吸收性
superordinate	高级的
insensate	无感觉的
transubstantiation	变质
laggard	落后者
cashew	腰果树
cold-blooded	怕冷的
duel	决斗
impartially	公平地
triptych	三联画
cross-country skiing	越野滑雪
interior angle	内角
Florence	佛罗伦萨
superstratum	上层
spread	散布
principle	原则
free of charge	免费
lute	鲁特琴
black salsify	细卷鸦葱
coagulate	凝
dysphagia	咽下困难
barefoot	光脚
isosceles	二等边的
fetlock	丛毛
isotonic	等张的
overpay	多付
skewer	丳
syllepsis	一语双叙法
tragicomical	悲喜剧的
treatise	论文
mitzvah	戒律
Tulu	图鲁语
annul	废除
string	弦
snowdrift	雪堆
antagonism	拮抗作用
blister	水泡
hatchery	孵卵所
chipboard	硬纸板
sunstroke	中暑
koala	考拉
ad-lib	信口说出
autosome	常染色体
dirge	挽歌
instantaneously	即时地
metonym	转喻
Venetian blind	百叶窗
whelp	小狗
water tower	水塔
burgomaster	市长
jellyfish	水母
steepness	险峻
twice	两次
comfortable	舒服
blower	鼓风机
work out	理解
egg	蛋
enhancement	增进
attention deficit hyperactivity disorder	注意力缺失症
Galatia	古代亚细亚的王国
indolent	惰
jacaranda	紫薇科蓝花楹属
egg roll	蛋卷
cantata	清唱剧
patron saint	祇
pollutant	污染物
transduce	转导
histidine	组氨酸
block and tackle	滑轮
ascites	腹水
parentless	无依无靠
arthroscopy	关节内窥镜检查
year-round	整年的
near	近
vagina	阴道
superintendent	监督人
symptomatic	症状的
gamble	赌博
bilberry	越桔
tenfold	十倍的
haggis	肺
hallucinate	使产生幻觉
porpoise	海豚
romp	游玩喧闹
syncopate	切分
Astana	阿斯塔纳
North Africa	北非
underclothes	内衣
evensong	晚祷
pulmonary vein	肺静脉
second cousin	従堂兄弟
metric ton	吨
Ecuador	厄瓜多尔
evidence	证据
invisible	无形
spatula	刮铲
squirt	喷出
cultivar	栽培品种
clothes tree	衣帽架
necklace	项链
fateful	重大的
shooting	射击
spectate	出席观看
vocabulary	词汇
black magic	黑巫术
abbreviate	为了缩写
gazebo	眺望台
account book	簿
mu	缪
herring gull	银鸥
viand	一件食品
fluffy	蓬松
hydroxyl	氢氧基
Paschal Lamb	基督
shrine	圣地
haymaking	晒制干草
episcopacy	主教制度
multicellular	多细胞的
entitle	取名为
annually	每年
Perth	珀斯
advertisement	广告
space walk	空间行走
dolphin	海豚
word order	词序
chili pepper	辣椒
windowsill	窗台
ambassador	大使
bang up	弄坏
fibrillation	纤维性颤动
Yank	北方佬
workshop	车间
prepare	准备
recur	轮
Asian	亚洲人
validation	证实
sacral vertebra	椎
cycling	自行车运动
abomasum	皱胃
apostatize	放弃信仰
cadence	韵律
fastidious	难取悦的
chiropractic	脊椎指压治疗法
whine	牢骚
secularist	世俗论者
facelift	拉皮
typesetter	排字工人
diplomacy	外交
smoker	吸烟者
footstool	脚凳
corner kick	角球
Shreveport	什里夫波特
hearth	炉床
cloud nine	极乐心境
standing wave	驻波
sapphire	蓝宝石
pylon	定向塔
sudden infant death syndrome	婴儿猝死症
symbolic	符号的
goldilocks	金发的
charwoman	女佣
crochet	钩针编织
dittany	白藓属的植物
dotage	老迷糊
nutrient	养分
radioactivity	放射性
confute	驳倒
time of departure	出发时间
mandolin	曼陀林
Pentateuch	摩西五书
rig	钻机
secular	世俗
frame of reference	参照系
acne	粉刺
falsehood	仮
midwinter	仲冬
department store	百货公司
telluric	地球的
wont	惯于
amphiprostyle	一种建筑物
bouillabaisse	马赛鱼汤
pronghorn	糜鹿
seminoma	精原细胞瘤
waistband	腰带
wherever	无论何处
air hole	气孔
quality of life	生活质量
sac fungus	子囊菌
stanza	节
valley	山谷
brother	兄弟
