covenant	ஒப்பந்தம்
broadcast	ஒலிபரப்பு
spikenard	ஏலம்
department store	டிமார்ட்மென்டல் ஸ்டோர்
brother	சகோதரன்
waistband	தனியா
wont	வழக்கமான
stanza	சந்தை
rumble	எதிரொலி
quality of life	வாழ்க்கை தரம்
radiate	கதிர் வீசு
secular	மதச்சார்பற்ற
wherever	எங்கென்றாலும்
rig	கட்டிப்போடு
gluey	பிசு பிசுப்பாயிரு
hyperglycemia	இரத்தச் சர்க்கரை அதிகரிப்பு
Coptic	காப்டிக்
place	நிலை
eject	வெளியேற்று
ball	பந்து
assessment	மதிப்பீடு
brandish	பயமுறுத்து
abnegation	மறுதலிப்பு
encounter	கிடை
abstain	விடு
bearded	தாடியுள்ள
binary code	இருமக் குறிமுறை
feast	விருந்து
conjugation	இடைச்சொல்
cruelty	கொடூரம்
riverside	சரிவு
preface	தன்னுரை
oblivion	மறதி
espy	பார்
scavenger	சுத்தம் செய்பவர்
Maghreb	துனீசியா
ill-mannered	காட்டுத்தனமாக நட
nux vomica	பீக்கம்
ice skate	ஐஸ் ஸ்கேட்
terminate	நீக்கு
reveal	வெளிப்படுத்து
wallpaper	ஒப்பனைத்தாள்
dumb	மக்காக இரு
annuity	வருவாய்
department	இலாக்கா
bath	குளியல்
roast	வாட்டு
bandit	கொள்ளைக்காரன்
rationality	பகுத்தறிவு
dozen	12 பொருட்கள்
adhesion	பிடிப்பு
lady	பெண்மணி
husk	உமி
kid	ஆட்டுக்குட்டி
outspoken	தைரியமாகச் சொல்
plural	பன்மை
rhinoceros	காண்டாமிருகம்
settle down	உறுதியாகு
indifferent	வேண்டா வெறுப்பாக இரு
mummy	அம்மா
Republic of Belarus	பெலாரஸ்
Bavaria	பவேரியா
assets	சொத்துகள்
singe	எரி
corrugate	சுருக்கு
GUI	ஜியுஐ
interactive	ஊடாடு
switch on	போடு
divulge	தெரிவி
inform	தெரியப்படுத்து
criminal	குற்றவாளி
ceramics	மட்பாண்டம் வனைதல்
reminiscence	நினைவு
castle	கோட்டை
harelip	முயற் செண்டு
justified	இருபுற ஒழுங்கமை
forgiving	பிழை பொறு
laity	பாமர மக்கள்
manageable	நிர்வகிக்கக் கூடிய
globule	விந்து
Scotland	ஸ்காட்லாந்து
Republic of China	தைப்பே
solar system	சூரியக் குடும்பம்
offload	இறக்கு
cut up	வெட்டிப்போடு
half-baked	அரை வேக்காடாக இரு
clarion	சிறுதுத்திரி
Mari	மாரி
burn	எரி
importance	முக்கியம்
ado	வீண் தொந்தரவு
elation	மகிழ்ச்சி
shark	சுறா
ascension	மேலேசெல்லுதல்
odour	மணம்
brick	செங்கல்
ligament	நாடி
revolve	வட்டமிடு
will	தீர்மானி
inhabitant	குடியிருப்பாளர்
meddle	தலையிடு
stub	மரக்கட்டை
trivialize	இழிவு படுத்து
syllable	அசை
Brisbane	பிறிஸ்பேன்
betel nut	அடைக்காய்
coccyx	குயின்மூக்கெலும்பு
quicklime	திரிதீயம்
prototype	நேரொப்புடையது
Italian	இத்தாலியன்
property	சொத்து
section	பிரிவு
bevel	மழுங்கிய முனை
jewel	நகை
jury	நடுவர்
anticipated	எதிர்நோக்கும்
take on	ஏற்றுக்கொள்
own	ஒப்புக்கொள்
give way	உடை
campus	பள்ளி
ogre	பயமுறுத்தும் முகம்
buff	விளக்கு
siren	சங்கு
modest	அடக்கமாக
vomit	வாந்தி
procrastinate	தள்ளிப்போடு
burn down	அரி
terminal	விமானம் போன்றது நிற்கும் இடம்
technical	தொழில்நுட்ப
Nostradamus	நோஸ்ராடாமஸ்
Slovenia	ஸ்லோவேனியா
Canberra	கான்பரா
end up	மாட்டிக்கொள்
revert	பழைய நிலைக்கு திரும்பு
incoherence	இடங்கேடு
magnetic field	காந்தப் புலம்
ammeter	மின்னோட்டமானி
license	உரிமம்
topology	கட்டமைப்பியல்
diverse	ஒன்றுக்கொன்று மாறான
imbibe	போடு
participle	பெயரெச்சம்
admonition	எச்சரிக்கை
agnostic	பிரபஞ்ச இரகசியம்
consensus	இணக்க முடிவு
unanimity	ஒட்டுமொத்த
bitter	துவர்
blouse	மேல் சட்டை
grub	கொத்து
vigilance	காப்பு
misappropriate	மோசடி செய்
interview	பேட்டி
hallow	புனிதப்படுத்து
retch	குமட்டு
sales tax	விற்பனை வரி
torchlight	தீவட்டி வெளிச்சம்
tatter	கந்தல்
vitamin	உயிர்ச்சத்து
triple	மும்மடங்கு
vouch	சாட்சி சொல்லு
Eastern Standard Time	கிழக்கத்திய நிலையான நேரம்
canvas	பாய்
quit	வெளியேறு
scale	தராசு
mobile phone	நகர்பேசி
discharge	விடுதலை செய்
denote	குறி
ale	பீர்
treat	ஏற்பாடு செய்
cereal	தானியம்
tramp	சுற்று
coin	நாணயம்
meek	சாதுவான
economics	பொருளியல்
harmonium	ஆர்மோனியம்
rampant	மலிந்துகிடக்கிறது
sleepwalker	தூக்கத்தில் நடப்பவர்
video	நிகழ்படம்
Moldova	மல்டோவா
purgatory	உத்தரிக்கும்ஸ்தலம்
lichen	கற்பாசி
start	தொடங்கு
Trento	இத்தாலி
insignia	முத்திரை
keyboard	விசைப்பலகை
a lot	ரொம்ப
alienation	பகைமை
working	வழி
argue	வாதாடு
accede	ஏற்றுக்கொள்
felon	குற்றவாளி
toast	வாழ்த்து
udder	மடி
scourge	தண்டி
tyranny	நெருக்கம்
gravy	குழம்பு
pulse	நாடித்துடிப்பு
knack	சாமர்த்தியம்
theorem	தேற்றம்
tow	இழுத்துக்கொண்டு போ
titter	கொக்கரி
