explanation	maelezo
yoke	nira
nutmeg	kungumanga
diagonally	kitongo
equilateral triangle	pembetatu sawa
cuff	sijafu
watershed	tengamaji
ununhexium	ununheksi
magnetic	-a sumaku
self-esteem	binafsi sharifu
can	kopo
adequate	basi
fourth	robo
currency	fedha
aboard	katika
winter	majira ya baridi
after all	mwisho
put on	-vaa
warrior	shujaa
bald	tupu
governor	gavana
whimsical	-badilifu
autobiography	tawasifu
crazy	majununi
suite	mwandamano
fatten	-nenepesha
hatchway	gamdra
white stork	korongo mweupe
ruffled	matimutimu
Australasia	Australasia
Hong Kong dollar	Dola ya Hong Kong
apart	mbalimbali
humility	jinamizi
achieve	-diriki
mattress	godoro
cholera	kipindupindu
take place	-sadifu
godparent	baba
deepen	kuchimbua
freeze	-ganda
formerly	mbele
butt	-kumba
content	radhi
groove	mfuo
sprinkle	-rasha
update	-sasisha
omega	omega
allocation	mtengo
human nature	ubinadamu
spherical	-a mviringo
interment	mazishi
vertical	-a wima
kneel	kupiga magoti
talc	ulanga
patrimony	urithi
scanner	skana
Kashmiri	Kikashmiri
chop	-changa
flounce	pambo
bungle	-boronga
lottery	bahati nasibu
water	maji
province	jimbo
classification	mpango
loose	legevu
ejection	uhamisho
separatism	mtengano
anus	mkundu
assert	-toboa
recruitment	chango
auction	mnada
identity card	kitambulisho
phalanx	msafa
oar	kasia
linguist	mwanaisimu
privatization	ubinafsishaji
invisibility	hali ya kutoonekana
clarinetist	filimbi
shallot	kitunguu
gathering	baraza
active	hodari
dunghill	jaa
republic	jamhuri
slant	mshazari
panel	jopo
beautiful	-zuri
woo	-bembeleza
jam	jemu
controversy	kigambo
murderer	katili
ballad	wimbo
capillary action	kapilari
budge	-tikita
noodle	tambi
poodle	kijibwa
erroneous	kosefu
snobbery	mapuuza
hermit crab	mwanamezi
heartwood	ngʼarange
hibiscus	haibiskasi
hostility	uadui
resign	-jiuzulu
fireplace	jiko
spoon	kijiko
merchandise	bidhaa
sibling	ndugu
appeal	rufaa
daily	kila siku
native	mwenyeji
invalidate	-batili
puberty	ubalehe
affront	usafihi
stringed instrument	kinanda
broker	dalali
safe	sefu
inner tube	mpira wa ndani
nettle	kiwavi
incise	-chana uchale
bisect	-gawakati
discus	kisahani
Numbers	Nambari
meteorologist	mtabiri wa hali ya anga
character	sifa
authority	mamlaka
portion	fungu
building	jengo
house	nyumba
parliament	bunge
housefly	inzi
embezzler	mfilisi
glance	nadhari
magistrate	hakimu
magnanimity	rehema
gunpowder	baruti
home page	gombo kaya
United Kingdom of Great Britain and Northern Ireland	Ufalme wa Muungano wa Britania na Eire ya Kaskazini
Mark	Marko
fishing pole	ndoano ya uvuvi
Swahili	Kiswahili
regret	juto
sneeze	-piga chafya
ground	ardhi
vulture	tai
whitebait	dagaa
painting	sanamu
Namur	Ubelgiji
contradiction	dakizo
satisfied	radhi
plaintiff	mshtaki
cramp	mpindano
run over	-konga
goldsmith	sonara
friction	msuguano
evacuate	-hara
glorious	takatifu
in any case	kwa kila hali
curry powder	bizari
racist	mbaguzi
firedamp	fyetua ukungu
harvestman	chande
adjacent	pakana
mechanic	fundi
math	hesabu
stalk	kikonyo
spirit	roho
instrument	ala
slaughter	chinja
precisely	madhubuti
flophouse	hoteli
tomb	kaburi
deficiency	athari
bearer	mpagazi
agreeable	-tamu
draft	mpepea
protest	-teta
equalize	-lingana
throb	papo
scarcity	shida
councillor	diwani
copse	kituka
mimic	-iga
warship	manowari
hoarfrost	sakitu
lasting	-a daima
arbitrarily	kwa jeuri
nymph	mwanamwali
Mongolia	Mongolia
triple jump	miruko mitatu
likewise	vilevile
benefit	nafuu
shank	mguu
nose	pua
calculation	kisi
north	kaskazini
Cyprus	Kupro
turmeric	manjano
Mogadishu	Mogadishu
eighth	a nane
Orinoco	Orinoco
investigate	-jasisi
infraction	tadi
Sundanese	Kisunda
astonishment	kiwewe
subjugation	sumbulio
arrogantly	shashimamishi
atomic	atomiki
billion	bilioni
contrast	-pambanisha
mercenary	askari wa kukodiwa
Obadiah	Obadia
antithesis	kinyume
adorn	-pamba
reception	tafrija
vocation	mwito
deem	kuangalia
talk	-ongea
secretion	kinyaa
daughter	binti
elephant	ndovu
recent	karibuni
truck	lori
protuberance	kinundu
rude	jeuri
verso	kitako
lame	-a kiwete
Guernsey	Guernsey
Pentecost	Pentekoste
cry	lia
substantive	jina
pachyderm	kiboko
nave	mashua
dust	vumbi
cotton wool	pamba
haunch	tako
Sheffield	Uingereza
elevate	-inua
accuser	mshtaki
wet	chepechepe
dent	kibonyeo
indemnify	-lipa
presentiment	kibuhuti
handlebar	usukani
sputum	balaghamu
inkwell	kidau
unwrap	-zingua
finally	hatimaye
eft	baada
fag	basha
drake	neno
clay	udongo
stability	uhodari
gadget	kifaa
widen	-panua
almond	lozi
discriminate	-bagua
computer	kompyuta
excise	ghairi
ash	jivu
bamboozle	-kenga
envious	uwivu
hand in hand	ngosho kwa ngosho
eyewitness	jicho shahidi
sidewalk	kando matembezi
underestimate	-weka chini
partner	mshirika
succumb	kufa
enjoy	-faidi
encode	simba
leaflet	ukurasa
assorted	mbalimbali
retrace	rudi
serve	-tumikia
witchcraft	uchawi
Zanzibar	Unguja
planning	upangaji
curl	-sokotana
bind	-ganga
lassitude	utepetevu
sura	sura
ledger	leja
correspondent	msimulizi
sterilization	utakasaji
lewd	kware
heat up	-kanza
mineral	madini
reboot	washa upya
spin the bottle	chupa
flee	-toroka
structure	mjengo
fellow	binadamu
zoom in	eleza
accord	azimio
authorization	idhini
imperialism	ubeberu
pride	kiburi
essential	-kubwa
diverge	-pishana
grow up	kua
rebound	-duta
flax	kitani
evangelist	mwinjilisti
Islamic Republic of Mauritania	Jamhuri ya Kiislamu ya Mauritania
Slovenian	Kislovenia
achievement	mapato
onion	kitunguu
infant	mtoto mchanga
environment	mandhari
enchanter	mchawi
radiocommunication	redio
vaccination	sindano
adaptation	ulinganisho
ventilator	pepeo
javelin	mkuki
tyrannical	jeuri
contemptuous	shashimamishi
beta	beta
mead	kangara
mesentery	utambi
glucose	glukozi
Swedish	Kiswidi
superficial	juujuu
obesity	kitumbo
gnat	mbu
bag	mfuko
four	nne
Uganda	Uganda
searchlight	kurunzi
innovation	uzushi
ridicule	dhihaka
immaterial	mamoja
avaricious	kabidhi
bandwidth	upana-bendi
barren	tasa
enunciate	-tamka
smelly	vunde
communistic	ukomunisti
inherit	rithi
internationalism	kilimwengu
nuclear weapon	silaha ya kiini
POW	mabusu
break down	-bomoa
overcome	shinda
disaster	afa
sympathy	huruma
moreover	tena
precipitously	ghafula
uselessness	ubatilifu
adviser	mshauri
windlass	silingi
toothpaste	dawa ya meno
triggerfish	duwi
password	nywila
arson	uchomaji
bluebell	bluu kivumanzi
Norse	-a Kinorsi
Bosnian	kibosnia
anyhow	ovyo
ignorance	ujinga
tune	tuni
give birth	kuzaa
jug	jagi
bathtub	chakogea
charm	hirizi
vision	kizuka
confusion	ghasia
dialogue	mazungumzo
stonemason	mwashi
Kingdom of Belgium	Ufalme wa Ubelgiji
dominance	ubakuaji
tear	chozi
sandpaper	msasa
thatch	-ezeka
cradle	mlazi
yawn	miayo
blood	damu
patronage	upendeleo
crust	ukoko
USA	Marekani
similar	sawa
pullover	sweta
gutter	mchirizi
poop	shetri
bigger	-kuu
harpoon	chusa
tarmac	lami
crown	taji
chicken scratch	kichoro
apparently	ati
tracing paper	kinakilo
bedclothes	nguo za kitanda
serene	kunjufu
godlike	uungu
impecunious	msoto
destruction	uharibifu
fill	-jaza
connive	uma
stint	zamu
propriety	jamala
fortification	ngome
insipid	dufu
continuity	mwendelezo
copier	mwiga
vociferation	kelele
man-of-war	manowari
harvest time	mrao
serval	mondo
contraceptive	kondomu
Latin America	Amerika ya Kilatini
blood poisoning	damu kiunguza
distil	takasa
Zeus	Zeu
may	-weza
thesaurus	kamusi
festival	tamasha
reside	-kaa
hat	kofia
reconciliation	suluhu
entrails	tumbo
Suez Canal	Mfereji wa Suez
cockscomb	fungu
crunch	-teketa
alternative	budi
chock	kona
ensue	-fuatana
cant	mteremko
stye	chokea
Dominican Republic	Jamhuri ya Dominika
Victoria Falls	Victoria Falls
repudiate	-tupa
oven	jiko
totally	kabisa
seasoning	kitoweo
hour	saa
sensation	kichocho
restrain	-zuia
apostleship	utume
scapula	kombe
living room	sebule
truly	kwa kweli
sanctity	utakatifu
eyebrow	nyusi
brahmin	mchunguzi
chick	kifaranga
refer	-tupia
Israel	Israeli
fermium	fermi
hacker	mdukizi
orthography	tahajia
benefaction	baraka
tin	bati
sorcerer	mchawi
sombre	giza
common cold	mafua
debone	mfupa
realm	ufalme
redeem	-komboa
pure	safi
lateness	ukawa
spew	nyonga
wristband	sijafu
chattel	kikorokoro
come on	fumania
tunic	kimau
qualify	-hitimu
manufacture	unda
golf	gofu
atomic energy	nguvu za atom
typography	uchapaji
hot dog	soseji katika mkate
discipline	nidhamu
bishop	askofu
banner	bendera
gentle	laini
right away	sasa hivi
uncertainty	shaka
harness	-tandika (punda)
stabilize	-imarisha
preacher	mhubiri
coat of arms	nembo
voluntarily	kwa hiari
subsequent	-andamo
age group	rika
grandson	mjukuu
indium	indi
respectful	uadhilifu
Republic of South Africa	iRiphabhulikhi yeNingizimu Afrika
viola	viola
interrupt	-katiza
royalty	ufalme
judgment	hukumu
article	makala
commitment	uazimaji
dark	giza
angle	pembe
limp	-chechemea
solely	tu
take heart	-jipa moyo
despoilment	wizi
tray	sinia
freedman	huri
ironically	-jugumu
trumpeter	mazeka
beginner	mwanagenzi
roentgenium	roentgeni
level crossing	tambuka reli
frightening	utisho
Cherokee	Kicherokee
yield	-achia
fire	moto
spine	uti wa mgongo
chapter	sura
Briton	Mwingereza
beauty	uzuri
troublesome	tundu
farina	unga
anguish	uchungu
forgery	ubini
bribery	mpenyezo
herald	mtangulizi
Dominican	Mdominika
thriller	riwaya ya ujambazi
Johannesburg	Johannesburg
resent	kuchukia
Albanian	Kialbania
impel	-choma
relief	faraja
patron	mlezi
hull	chunga
short story	hadithi
headline	kichwa cha habari
colic	tumbo
rasp	tupa
efflux	chururu
emaciated	gofu
strop	suguo
rub out	kufuta
ellipse	duaradufu
foundling	kiokote
cosmopolitan	mwasikwao
senate	seneti
Arab League	Jumuiya ya Nchi za Kiarabu
hyssop	husopo
Dutch	Kiholanzi
vain	malidadi
potato	kiazi
rake	-palia
adaptability	werevu
steamship	merikebu
Rome	Mji wa Roma
insistence	msisitizo
lure	-vaa
amphora	jungu
jurist	mwanasheria
vibration	mtetemo
dissension	fihi
theory	nadharia
encrustation	njumu
friable	tifu
flannel	fulana
tenderness	wororo
humpback	kijongo
quest	utayarishi
carelessness	ulegevu
weak	dhaifu
prosperous	neemevu
soccer ball	mpira
shack	kibanda
moor	-egesha
torch	mwenge
requirement	mahitaji
cock	jogoo
sheeny	Kiyahudi
bridge	daraja
ether	mbingu
sheath	ala
acerbity	ukali
aphorism	methali
troupe	kundi
rigid	yabisi
lizard	mjusi
topknot	shungi
manger	kihero
exchange rate	sarafu
longitude	longitudo
loser	mshinde
popcorn	bisi
blog	blogu
gratuitously	bilashi
nut	njugu
dock	gudi
right wing	kulia
flash	-angaa
Iberia	Ureno
countryman	mwanakijiji
crossing	mkingamo
fissure	mwatuko
skeletal	a huzuni
he-man	yeye binadamu
well	kisima
panther	chui
civilized	kiungwana
severe	kali
Venus	Zuhura
liturgy	ibada
equilibrium	ulinganifu
wait on	-hudumu
hydraulic	-a maji
touch	-gusa
arrack	araka
blackmail	magengo
periodic table	jedwali
overfeed	-babia
panelist	mwanajopo
pallet	usafiri
monitor	monita
mileage	posho ya kilomita
drink up	kinywaji juu
surprise	mshangao
error	kosa
spanking	kiboko
decade	muungo
tithe	zaka
gonad	yai
known	fahamu
blemish	ila
collar	ukosi
direct	-simamia
consulate	ubalozi
accelerate	-chapuza
arise	-zuka
Interlingua	Kiintalingua
sedative	tulizo
attractive	jamili
fetish	hirizi
acknowledged	maalum
precipitate	chujo
conveyance	upelekaji
Mecca	Maka
Dnieper	Belarusi
caliph	halifa
Iraq	Iraki
senator	seneta
footnote	tiniwayo
review	marudio
stir up	-vuruga
busy	bizi
spider	buibui
drag	-vuta
stake	kigingi
canal	mfereji
mandarin	chungwa
concrete	zege
Stratford-on-Avon	Uingereza
scoundrel	ayari
proposal	pendekezo
omnipotence	makadara
atlas	kitabu cha ramani
praiseworthy	suna
strangeness	ugeni
royal	kifalme
Zambian	Mzambia
chili	pili pili
megabat	popo mkubwa
Marathi	kimarathi
permit	cheti
brutality	ujeuri
teaching	ualimu
sign	alama
species	aina
antler	pembe-tawi
respect	heshima
firmly	imara
seraph	malaika
Manichaeism	Mkristo
employee	mwajiriwa
castration	uhasi
erasure	mfuto
detonation	mlipuko
bayonet	singe
casket	jeneza
germinate	-mea
kettle	birika
playful	purupuru
insane	majununi
graph	jedwali
pullet	tembe
toupee	kishungi
set on fire	kukoka
petticoat	kirinda
pound	-twanga
purchase	kununua
hood	kifuniko
chisel	patasi
laddie	mtoto
clef	msingi
watchman	mlinzi
nearby	karibu
neck	shingo
Malawi	Malawi
varlet	mtumishi
bear witness	-shuhudia
photograph	picha
soccer	kandanda
width	upana
get on	-panda
sharpen	-noa
collateral	mdhamana
contraband	magendo
tonsil	kifuko
Chilean	Mchile
riyal	riale
womanhood	uke
Hadrian	Kaizari Hadrian
processing	uchakataji
mop	deki
echidna	mhanganungu
exclusion	mapatano ya kuweka mtu mbali na kundi fulani
stew	-kaanga
attentive	-angalifu
independent	huria
shelter	mfuniko
mouse	kipanya
supplement	nyongeza
rivulet	kijito
trench	handaki
accumulation	mkusanyiko
soften	-lainisha
clamp	-bana
enrich	-tajirisha
balcony	roshani
alga	kijimea
headband	kilemba
Rhodes	Rhodos
Liechtenstein	Liechtenstein
querulous	tukutu
Kingston	Kingston
Amur	Amur
navigate	rambaza
hunger strike	kwiu goma
garment	vazi
diaphanous	anga
summertime	kiangazi
say	-sema
trustee	mkabidhi
cold	baridi
kike	Kiyahudi
relieve	-pokea
starter	kianzio
simplify	-rakibisha
inoculate	-chanja
optical illusion	mangazimbwe
flotilla	kundi la manowari
Yugoslavian	Myugoslavia
samarium	samari
hush	uss
fatherhood	ubaba
pummel	puma
herbivore	mla-mimea
telekinesis	telekinesi
Quebec City	Quebec
alert	kimacho
generosity	ukarimu
bruise	chubuko
worm	funza
savor	kiburudisho
bring	leta
orifice	kitundu
guess	-kisi
brood	-otamia
sycophant	mpanda
fighter	mpiganaji
celibacy	ubikira
shameful	hanithi
Madagascar	Madagaska
full moon	mbalamwezi
fried egg	yai la kukaanga
Holy Roman Empire	Dola Takatifu la Kiroma
Nagasaki	Nagasaki
polygamy	uke wenza
Nativity	Krismasi
decorticate	ganda
dash	-elemea
color	rangi
Republic of Uganda	Uganda
overseas	ngʼambo
ice	barafu
bail	dhamana
enliven	-changamsha
right angle	pembemraba
kangaroo	kangaruu
Congolese	Mkongo
sine	sini
categorization	uainishaji
breadwinner	mtafuta riziki
except	ila
depression	unyonge
headquarters	kiti
sit	kukaa
poinsettia	mchungaji
student	mwanafunzi
buck	paa
Leipzig	Ujerumani
verse	aya
lawyer	wakili
ripen	kuiva
bonnet	domo
hallucination	wazimu
ethics	adili
penitent	mwungamaji
gadabout	mtembezi
shear	-nyoa
driftwood	mzumai
taxonomy	taksonomia
Alexandria	Aleksandria
Versailles	Versailles
reindeer	kulungu aktiki
offer	toa
old man	mzee
buddy	mwenzi
marrow	ubongo
skate	taa
growing	uoto
tourer	msafiri
Jupiter	Mshtarii
butter	siagi
suitor	mposa
honorable	stahiki
purple	zambarau
spelling	uendelezo
rhetorician	mbalagha
Nepal	Nepal
synod	sinodi
Santo Domingo	Santo Domingo
polish	-sugua
earth	ardhi
cartridge	beti
dimension	kipimo
shag	kutomba
sperm	manii
offering	kafara
luckily	haijambo
Lusaka	Lusaka
hue	rangi
pigment	rangi
accused	mshtakiwa
circus	sarakasi
exploit	-tumia
guerrilla	rugaruga
centimetre	sentimita
kidney bean	mfiwi
tailfin	pezi la mkia
Society of Jesus	Shirika la Yesu
good luck	bahati
swim	-ogelea
react	jibu
sunbathe	kauka
telephone	simu
irony	kinaya
bookkeeper	karani
brutish	-a kinyama
intern	-alika
imprisonment	rumande
creator	muumba
swap	kubadilishana
chimney	dohani
solemnity	adhimisho
civet	zabadi
lubrication	ulainishaji
shrug	kuinua mabega
weed	gugu
illumination	nuru
morrow	asubuhi
Hezbollah	Hezbollah
sun	jua
rule	enzi
complexion	uso
cue	uponyi
point of view	rai
slipper	koshi
butt hinge	kope
sergeant	sajin
steam engine	kinu cha moshi
printer	printa
Sofia	Sofia
borscht	supu ya bitiruti
tyrant	dhalimu
shilling	shilingi
satellite	mwezi
qualification	ubingwa
accurate	halisi
dirty	-chafu
rectangle	mstatili
lionhearted	hodari
Sierra Leone	Siera Leoni
supply	mlimbiko
upload	-pakia
accent	matamko
mother-in-law	mkwe
migration	uhamaji
catchword	kidahizo
epitome	risala
passer-by	mwenda
forego	-bihi
ululation	kigelegele
resurrection	ufufuko
West Virginia	West Virginia
clever	-erevu
fertility	mbobo
OK	basi
proprietor	mwenyewe
sill	kirimba
wake up	-amka
cooking oil	mafuta
baboon	nyani
domicile	makazi
old woman	bibi
silver	fedha
clean up	-futa
banish	-fukuza
pub	baa
philosophy	falsafa
gonorrhea	kisonono
tag	ankra
grand	tukufu
Seychellois	Mshelisheli
lily	yungiyungi
strappado	kopi
featherweight	uzito wa unyoya
Punjabi	Kipunjabi
cone	sonobari
come	-ja
sleep	usingizi
body hair	malaika
inspector	inspekta
hardship	shida
respectable	sharifu
shyness	woga
script	hati
impediment	kizuio
grandeur	utukufu
mourning dove	kuyu
converge	-karibiana
rejection	mardudi
prefix	kiambishi awali
travelling	usafari
rich	tajiri
lead astray	-zaini
scum	povu
knee	goti
disgrace	haya
flaw	ila
lurid	kali
conformity	ulinganifu
garbage can	pipa
criminality	uhalifu
acceptability	mwafaka
floppy	mkataba
hilt	kipini
pretty	-zuri
shining	-angavu
terrorism	ugaidi
detail	kipengele
blogger	mwanablogu
harpist	mpiga kinubi cha miguu
suds	povu la sabuni
milt	wengu
item	kifaa
watchword	mwito
absolutely	kabisa
fabric	nguo
Aachen	Aachen
inhibit	kinga
urinate	-kojoa
coke	theluji
stumble	-pepesuka
hang up	-angika
pottery	ufinyanzi
scaffold	kinara
everywhere	pote
firecracker	fataki
continuous	-a daima
hairdo	mchano wa nywele
Roman Empire	Dola la Roma
hit	-piga
syllabus	muhtasari
roughness	ukorofi
resentment	chuki
chauffeur	dereva
paraffin	mafuta
head covering	utaji
prickle	-kereketa
safari	safari
true	kweli
awning	ukingo
rape	ubakaji
cheer	-shangilia
harass	-udhi
superficially	hivi hivi
subservience	haya
lace	kitango
archaeologist	mwanaakiolojia
thunderclap	radi
handcar	kiberenge
economic	uchumi
fistula	nasuri
wigeon	bata domo-kijivu
decagon	pembekumi
historian	mwanahistoria
Washington	Washington
Havana	Havana
free	bure
cheese	jibini
curb	-akifu
demo	onyesha
luxurious	-anisi
languid	tepete
coercion	jefule
kidnap	-nyangʼanya
papyrus	mafunjo
tarp	chandarua
magnitude	mjao
electronics	elektroniki
Commonwealth of Independent States	Jumuiya ya Nchi Huru
propel	kuzunguuka
intentionally	mradi
knock off	-pemba
paper	karatasi
moderation	ukadirifu
bulb	balbu
ignoramus	mjinga
inlet	ghuba
camel	ngamia
hog	nguruwe
accompany	-sindikiza
chiefly	aghalabu
frequently	mara nyingi
liability	shahada
execute	-timiliza
sect	farakano
bitter orange	danzi
tome	juzuu
burglary	wizi
supreme	-tukufu
blare	kelele
posterior	kitako
recipient	mpokezi
calcium	kalisi
devise	mkakati
Galilean	Yesu
Yokohama	Yokohama
go down	-teremka
coffee	kahawa
galago	komba
all fours	nyani
Indian Ocean	Bahari ya Hindi
unpleasant	chungu
ague	homa
footwear	kiatu
nature	hulka
computing	idadi
elegant	murua
crossroad	njia panda
apostrophize	kuja
fistfight	ndondi
playing card	karata
cilantro	giligilani
einsteinium	einsteni
Protestant	-a kiprotestanti
dancer	mchezaji ngoma
watchmaker	fundi wa kufanyiza saa
junk mail	barua taka
get up	-ondoka
train	treni
chairman	mwenyekiti
Thursday	Alhamisi
excellent	bora
status	cheo
toad	chura
Edinburgh	Edinburgh
idle	legevu
tense	wakati
bishopric	uaskofu
circulate	-jiri
expect	-tazamia
senility	uzee
caraway	jira
firefly	kimulimuli
flavoring	mchikicho
transportation	usafiri
heir	mrithi
Commonwealth of Australia	Australia
radiation	mnururisho
rarely	nadra
Shinto	Shinto
monotreme	mamalia atagaye mayai
assertion	neno
male	kiume
nanny	yaya
tinker	msafiri
doubt	shaka
quench	-zima
wench	msichana
declare	-nena
hatch	-atamia
stratum	tabaka
hypocrisy	unafiki
convention	kanuni
sportswoman	mwanariadha
celestial	samawati
redress	-fidia
mallet	mnguri
diver	mzamaji
Paramaribo	Paramaribo
soupspoon	kijiko cha supu
decimetre	desimita
pluck	-chuma
signature	saini
Tuesday	Jumanne
profession	amali
hound	mbwa
theater	ukumbi
obedience	taa
important	muhimu
ma	nina
at a time	sasa hivi
grant	-kiri
far	mbali
ambergris	ambari
quinsy	halula
forecast	utabiri
speculate	-bahatisha
invader	mvamizi
mouthful	funda
cervical vertebra	kosi
chickpea	njegere
loquacious	limi
prognosticate	bashiri
badminton	mpira wa vinyoya
headphone	vifaa vya sauti vya masikioni
sell	-uza
bang	mshindo
metal	madini
inch	inchi
panic	utisho
junior	dogo
eland	pofu
induce	-hamasisha
necessity	lazima
democracy	demokrasi
residue	baki
divine service	ibada
adapt	-suluhu
utility	mafaa
negotiation	jadiliano
listless	-tepetevu
refusal	katazo
blackness	weusi
dengue fever	kidingapopo
mirage	sarabi
brake	breki
watt	wati
Syracuse	Siracusa
San Francisco	San Francisco
world war	vita kuu ya dunia
tergiversate	kufa
breed	mbegu
vat	mfuko
son	mwana
propeller	rafardha
especially	hasa
Satan	Shetani
amusement	tafrija
variably	mbalimbali
catching	mnaso
promiscuity	uasherati
cheque	cheki
poster	kibao
cube	mchemrabasawa
civility	utuvu
impassable	isiyokia
Grenadian	Mgrenada
Sri Lanka	Sri Lanka
coattail	sketa
fingertip	kidole bahashishi
