adjudicate	mengadili
dermatology	dermatologi
codeine	candu
patience	sabar
from pillar to post	mondar-mandir
joint-stock company	perseroan
potter	tukang tembikar
knightly	bersifat ksatria
methodological	metodologis
beatify	menggembirakan
hypnotist	ahli hipnotis
phosphorescence	fosforesensi
checkroom	tempat menitip barang
turbojet	mesin jet
tambourine	tamborin
nougat	nugat
hamburger	hamburger
colitis	kolitis
blotter	kertas lap
actinometer	aktinometer
foliage	daun
persistent	keras
pliant	anut
trigger	pelatuk
faux	palsu
sorption	penyerapan
weapon	senjata
Spain	Spanyol
airscrew	baling-baling
Bucharest	Bukarest
ribald	cabul
regenerate	mengganti
hussy	pelacur
induction	pelantikan
Vilnius	Vilnius
unable	tidak bisa
parliamentary	parlementer
emplacement	posisi
cockfight	sabung
eightfold	rangkap 8
warden	sipir
globalisation	globalisasi
jingoism	sovinisme
puma	puma
Shetland pony	Poni Shetland
whodunit	misteri
Latin alphabet	Alfabet Latin
Disney	Disney
Shetland Islands	Shetland
Abu Dhabi	Abu Dhabi
regular	teratur
acid	asam
articulation	cara baca
gilded	emas
gang	gang
lawn	halaman rumput
prevent	larang
yen	yen
mess up	aduk
nil	nol
bankable	Reliabel
threefold	tiga
prejudicial	berbahaya
frustrate	gagal
expressway	jalan tol
coop	sarang
distrust	syak
floozie	pelacur
captivity	perbudakan
hangman	algojo
electromagnetic wave	gelombang elektromagnetik
lintel	ambang pintu/jendela
atomic mass	berat atom
cotton candy	gulali
collude	bergabung
axiology	aksiologi
matinee	matine
North Star	Polaris
caffeine	kafein
King James Version	Alkitab Versi Raja James
thallus	akar
Algeria	Aljazair
genuine	tulen
solve	memecahkan
pool	kolam
functional	fungsi
missing	hilang
definitely	jelas
polite	sopan
North Korea	Korea Utara
manna	mana
dime	masa
generalize	membuat
beautifully	menarik
coca	salju
extremity	yang ekstrim
ingenuity	bayangan
fungus	jamur
seaweed	rumput laut
diametrically	langsung
Seth	peti
obtainable	mudah dicapai
declination	deklinasi
tellurium	telurium
thermoelectric	termo-elektris
clear-sighted	tajam pikiran
know-it-all	orang yang sombong
solenoid	elektromagnet
theosophy	teosofi
neoliberalism	neoliberalisme
Sufism	Sufisme
Atropos	Atropos
steroid	steroid
turkey	kalkun
receiver	gagang telepon
principle	prinsip
duel	banting
impression	kesan
beastly	canggung
cold-blooded	eksotermik
insensate	dingin
Florence	Firenze
cashew	jambu
obvious	terbukti
brunch	makan
coagulate	membekukan
runner	pelari
persistence	ketekunan
deserve	[berhak/layak]
skewer	menusuk
lute	kecapi
cask	tong
superordinate	ketua
thematic	mengenai pokok-pokok
neoclassical	neoklasikal
entirety	keseluruhan
laggard	pemalas
transubstantiation	transubstansiasi
reliability	keawetan
impartially	dengan tanpa pengaruh
Jeddah	Jeddah
Silvanus	Sylvanus
Tulu	Tulu
qadi	kadi
jellyfish	ubur-ubur
whelp	anak
free of charge	gratis
work out	berakhir
spread	menyebar
account book	buku
string	tali
antagonism	tak suka
koala	koala
indolent	lamban
blister	lepuh
annul	membatalkan
pollutant	polutan
comfortable	nyaman
egg	telur
twice	berganda
ambassador	duta besar
treatise	penelitian
burgomaster	wali kota
barefoot	kaki ayam
instantaneously	tunai
parentless	menjadi yatim
isosceles	samakaki
jacaranda	polisander
blower	kipas angin
water tower	menara air
steepness	kekasaran
cantata	musik dari bahan cerita
dirge	nyanyian pemakaman
ad-lib	spontan
Galatia	Galatia
sunstroke	siriasis
histidine	histidina
chipboard	papan partikel
evidence	bukti
near	dekat
Ecuador	Ekuador
fateful	sangat penting
mu	kamu
vocabulary	kosa kata
porpoise	ikan lumba-lumba
abbreviate	mempersingkat
gamble	judi
enhancement	peningkatan
year-round	selalu
shooting	tembak menembak
vagina	vagina
necklace	kalung
romp	permainan
squirt	percik
egg roll	lumpia
episcopacy	daerah keuskupan
invisible	siluman
black magic	sihir
shrine	keramat
superintendent	mandur
spatula	irus
metric ton	ton
tenfold	desimal
second cousin	anak dari saudara sepupu
bilberry	beri biru
gazebo	menara untuk melihat sekitar
underclothes	pakaian dalam
word order	urutan kata
entitle	berhak
symptomatic	simtomatis
Perth	Perth
Astana	Astana
North Africa	Afrika Utara
cultivar	kultivar
fibrillation	fibrilasi
Shreveport	Amerika
hearth	tungku
Asian	Asia
footstool	sandaran kaki
prepare	mempersiapkan
advertisement	iklan
fluffy	kapas
diplomacy	diplomasi
chili pepper	cabai
dolphin	lumba-lumba
nutrient	gizi
crochet	menyangkutkan
cycling	sepeda
annually	tahun
workshop	lokakarya
validation	pengesahan
recur	kambuh
dotage	rasa malu
fastidious	cermat sekali
Paschal Lamb	Kristus
bang up	menghancurkan
symbolic	lambang
smoker	perokok
whine	cengeng
confute	menyangkal
cadence	irama
windowsill	ambang
sapphire	safir
radioactivity	radiasi
chiropractic	manipulasi
mandolin	mandolin
air hole	lubang-angin
typesetter	tukang set
Pentateuch	Hukum
hydroxyl	hidroksil
sudden infant death syndrome	sindrom kematian bayi mendadak
bouillabaisse	bawang putih
secular	duniawi
radiate	bersinar
brother	saudara
wont	kebiasaan
howler	kekeliruan
maritime	bahari
radioactive waste	limbah radioaktif
broadcast	menyiarkan
rig	menipu
gluey	pekat
valley	lembah
charwoman	wanita pembersih
dynamic	dinamis
falsehood	bohong
telluric	darat
wherever	di mana pun
cloud nine	gembira
stanza	bait
Coptic	Koptik
poach	memasak setengah matang
Guangzhou	distrik
stardom	kemasyhuran
waistband	ikat pinggang
acne	jerawat
rumble	merengut
yore	dahulu kala
department store	toserba
frame of reference	kerangka acuan
spikenard	narwastu
wall plug	soket
omicron	omikron
Astrakhan	Astrakhan
Tenerife	Pulau Tenerife
hyperglycemia	hiperglisemia
armband	ban
place	tempat
encounter	bertemu
eject	usir
bearded	berjenggot
ball	bola
ill-mannered	biadab
cretin	dungu
cruelty	kekejaman
espy	melihat dari kejauhan
abstain	menahan
brandish	mengayunkan
hoi polloi	rakyat
Maghreb	Maghrib
caiman	buaya
conjugation	konjugasi
twit	menggoda
feast	pesta
assessment	pertimbangan
as a matter of fact	sebetulnya
preface	mukadimah
deadlock	sangkutan
birdcage	sangkar
riverside	di tepi sungai
paganism	paganisme
reconnoiter	memandu
swallowtail	teliti/berpakaian lengkap
zygomatic bone	tulang pipi
aetiology	etiologi
percussion instrument	perkusi
angina	angina
ice skate	seluncur es
Creutzfeldt-Jakob disease	penyakit Creutzfeldt-Jakob
terminate	akhir
kid	anak
plural	bentuk jamak
dumb	bisu
settle down	tenang
roast	bakar
lady	ibu
outspoken	blak-blakan
ladybug	kumbang
bath	kamar mandi
reveal	buka
bandit	begal
indifferent	lalai
rhinoceros	badak
department	kantor
dozen	lusin
stout	mendesak/bersifat memerintah
husk	kulit
annuity	pensiun
adhesion	adhesi
papacy	kepausan
allegoric	bersifat kiasan
hexagonal	bersudut enam
statistician	orang statistik
flash flood	air bah tiba-tiba
machismo	sovinisme
rationality	rasionalitas
albino	warna kulit tidak normal
Lubumbashi	Elisabethville
Menshevik	Menshevik
wallpaper	kertas dinding
protected	ayom
substantially	secara nyata
Republic of Belarus	Belarusia
castle	benteng
switch on	menyalakan
criminal	jahat
divulge	buka
cut up	memotong
inform	beri tahu
assets	aset
solar system	sistem tatasurya
Scotland	Skotlandia
Republic of China	Republik Tiongkok
Bavaria	Bayern
mummy	mumi
singe	hanguskan
forgiving	ramah
Mari	Mari
sideboard	bufet
offload	menjelaskan
carburetor	karburator
klick	kilometer
antechamber	ruang depan
corrugate	berkerut
reminiscence	kenangan
interactive	interaktif
ceramics	keramik
harelip	bibir sumbing
justified	mempertahankan diri
manageable	bisa dikuasai
soaring	menjulang
unexcited	tak tertarik
pack animal	binatang beban
globule	sel darah
appellate	rayuan
laity	kaum awam
clarion	selompret
money laundering	pencucian uang
odour	bau
importance	arti
ascension	pendakian
stub	banting
brick	batu bata
revolve	putar
burn	bakar
will	kehendak
shark	ikan hiu
elation	kegembiraan
prototype	prototipe
ado	kuek
meddle	mencampuri
inhabitant	penduduk
magnanimously	sangat
insular	sempit
quicklime	kapur
betel nut	pinang
nuptial	perihal perkawinan
herring	hering
tuba	tuba
duelist	petanding
decilitre	desiliter
tesla	tesla
nutcracker	alat pemecah buah keras
rusticity	kekasaran
coccyx	tulang ekor
ligament	ikatan sendi
syllable	suku kata
soviet	Soviet
wildly	dengan kebingungan
trivialize	mengecilkan
shogunate	keshogunan
Peloponnese	Peloponnesa
Brisbane	Brisbane
Colombian	Orang Kolombia
beriberi	beri-beri
tribology	tribologi
Italian	Bahasa Italia
own	milik
terminal	terminal
section	bagian
property	harta benda
end up	berakhir
take on	bertemu
siren	putri duyung
ogre	wajah monster
give way	hidup
modest	rendah hati
jewel	permata
buff	kekasih
nark	melukai
burn down	memusnahkan
bevel	memiringkan
vomit	muntah
tireless	rajin
Slovenia	Slovenia
revert	kembali
Barbary	barbar
majuscule	huruf besar
campus	kampus
procrastinate	malas
decor	hiasan
Canberra	Canberra
technical	tehnik
anticipated	menjadwalkan
psychiatric	psikiatris
creepy	menyeramkan
jury	anggota juri
magnetic field	medan magnet
ammeter	amperemeter
Christianize	baptis sso
lumpy	bergumpal
Gabriel	Gabriel
dervish	darwis
Nostradamus	Nostradamus
ethane	etana
epoxy	epoksi
niacin	niasin
bitter	pahit
diverse	berbeda
tatter	ujung
grub	ulat
license	lisensi
consensus	konsensus
unanimity	kesepakatan
dreadfully	luar biasa
imbibe	melukis
hallow	membersihkan
retch	membungkam
misappropriate	menyelewengkan
vouch	mendukung
interview	wawancara
billboard	baliho
languorous	sedih
triple	tiga lapis
admonition	anjuran
blouse	blus
riposte	kembali
admirer	pengagum
composite	dapat dikurangi
vigilance	pengawasan
vitamin	vitamin
agnostic	agnostik
killjoy	senang usil
mortality rate	tingkat kematian
topology	topologi
theocracy	teokrasi
participle	partisip
detoxification	detoksifikasi
hyacinth	lembayung
Eastern Standard Time	Waktu Standar Timur
coin	uang logam
canvas	layar
quit	berakhir
denote	berniat
ale	bir
economics	ekonomi
ominous	gelagat buruk
glandular	hal kelenjar
discharge	memecat
scale	sisik
lichen	lumut
tramp	gembel
treat	memperlakukan
meek	rendah hati
Moldova	Moldova
purgatory	purgatori
harmonium	organ
mobile phone	telepon genggam
rampant	beringas
leafless	gundul
addendum	addendum
cereal	serealia
video	video
playpen	tempat anak kecil bermain
cranial	berkenaan dengan tengkorak
gamut	gamma
sleepwalker	yang suka berjalan saat tidur
daisy	bunga aster
slag	ampas bijih
tourniquet	pagar putar
creationism	ciptaanisme
diatom	diatom
polyester	poliester
Asclepius	Asklepios
Faunus	Faunus
tyranny	tirani
Adam	Adam
scourge	cambuk
knack	keserasian
a lot	banyak
start	mulai
allegory	perumpamaan
pulse	denyut nadi
argue	bertengkar
Trento	Itali
gravy	kuah
accede	setuju
toast	bakar
tow	tarik
felon	penjahat
pertinent	sah
working	hati-hati
perplexed	bingung
logjam	jalan buntu
Tchaikovsky	Pyotr Tchaikovsky
alienation	memisahkan
theorem	teorema
cuspid	siung
udder	ambing
viewfinder	pencari
corolla	mahkota bunga
ivy	tumbuhan menjalar ʼivyʼ
insignia	tanda pangkat
keyboard	papan ketik
deerhound	Deerhound
standing stone	menhir
beige	krem
titter	mengekek
atom	atom
pullulate	banyak
behind	belakang
ready	siap
loan	menagi
emolument	gaji
ditto	juga
delicacy	makanan lezat
pretender	penipu
mansion	rumah besar
invasion	invasi
Deutsche Mark	tanda
charitable	amal
fable	dongeng
diskette	disket
prime minister	perdana menteri
hematite	ginjal
frustration	frustrasi
drivel	omong kosong
stampede	memaksa
acyl	asil
carpenter	tukang kayu
social class	pekerjaan sehari-hari
denude	menggunduli
wavelike	bentuk ombak
childbed	buruh
license plate	plat mobil
war crime	penjahat perang
taffy	gulali
astringent	pedar
boreal	boreal
Canopus	Canopus
Sea of Japan	Laut Jepang
perpendicularly	mencuram
boy	anak laki-laki
gift	hadiah
vertebrate	bertulang belakang
cordierite	besi
baseball	bisbol
liable	boleh
strong	kuat
euro	euro
madness	gila
sanction	izin
Good Friday	Jum'at Agung
appointment	janji
scroll	gulungan
Norway	Norwegia
barter	bertukar
assertive	yakin
snapshot	gambar
throne	tahta
mission	tugas
duds	pakaian
daybreak	subuh
intimidation	intimidasi
epigram	epigram
arrow	anak panah
stock exchange	bursa
manufacturer	merek
dowager	janda
fictile	plastik
muffler	knalpot
filtrate	filtrat
Capricorn	Capricornus
winnow	tampi
unipolar	kutup tunggal
puffball	jamur beracun puffball
wildfowl	burung air
chicory	tanaman chicory
radial	radial
Cardiff	Cardiff
Lyra	Lyra
Eos	Eos
Antiguan	Orang Antigua
pretence	penipuan
schoolchild	anak
tart	asam
wide	lebar
lie	dusta
repose	aso
cinch	fellatio
emancipation	kebebasan
acquiescence	persetujuan
masturbation	masturbasi
drawers	celana pendek
femininity	kewanitaan
recreational	rekreasi
Neapolitan	Neapolitan
stony	seperti granit
historic	historis
recapitulation	ikhtisar
camp	kamp
easement	pengurangan
pyrosis	maag
sic	terbenam
logarithmic	logaritmis
sulfide	sulfid
tacking	penyisipan
photoelectric cell	mata elektris
elegy	nyanyian sedih
malapropism	penggunaan tidak tepat
mainly	yang penting
counterpoint	berbentrok
measly	sekelumit
Galloway	Galloway
Chennai	Chennai
stoker	stoker
Colossus of Rhodes	Colossus Rhodes
utilitarianism	utilitarianisme
zany	aneh
healer	dukun
mapping	pembuatan peta
completely	habis
fiendish	jahat
fortunately	untungnya
amusing	lucu
bull	sapi
expectoration	meludah/ meludahi
stir	mencampur
veil	tudung
brim	tepi topi
harmony	keselarasan
chill	sejuk
consideration	tenggang
sewage	tahi
imprecate	mengutuk
wash up	mencuci
Akan	Akan
demobilize	membubarkan wamil
bungler	serdadu konyol
aviator	pilot
chameleon	bunglon
quadrilateral	bersudut empat
tractor	traktor
pillbox	kotak pil
Hephaestus	metalurgi
biotechnology	ergonomi
libretto	kata-kata nyanyian
immobility	terpaku
hominid	hominid
Judea	Judaea
Olympus	Gunung Olimpus
Erebus	Erebos
Etruscan	bahasa Etruska
action	perbuatan
immature	kecil
vapour	uap
raw	mentah
qualified	bergantung
index	tunjuk
Japan	Jepang
approximate	kira-kira
hatefulness	kebencian
hop	lompat
enthrone	memberi
rupture	putusan
reasonable	lumayan
fiasco	kegagalan
abyss	abis
fraudulence	pemalsuan
Cebuano	Sebuano
Pali	Pali
attainment	prestasi
mesmerize	terpesona
elector	pemilih
flashback	kilas balik
jawbone	rahang
osmium	osmium
papist	tentang pengajaran Katolik
Diocletian	Diocletianus
icebreaker	kapal pemecah es
mizzenmast	tiang penyorong
aftertaste	rasa makanan di mulut
incest	hubungan sedarah
detract	menurunkan berat
nasalize	menyengaukan
giblet	giblet
Osaka	Osaka
Gulf of Bothnia	Teluk Bothnia
dolomite	dolomit
antiquark	antiquark
Serb	bahasa Serbia
cause	sebab
aggressive	agresif
fibre	aksara
organ	organ
Bangladesh	Bangladesh
puff	kepulan
virginal	bersih
carry out	melakukan
moon	bulan
fetid	busuk
violent	keras
compile	karang
bathe	mandi
leave behind	tinggalkan
open fire	mulai menyerang
urgency	penting
acetylsalicylic acid	asam asetilsalisilat
Hong Kong	Hong Kong
simulation	mainan
prologue	kata pendahuluan
seclusion	sulit
Sardinian	Sardinia
defender	bek
builder	pembangun
phonetic	fonetik
industrialization	industrialisasi
equipoise	ketenangan
wrinkly	berkerut
removal	transmigrasi
ajar	terbuka sedikit
unpronounceable	tak dapat diucapkan
electric ray	torpedo
lascivious	saru
Sarajevo	Sarajevo
Muscovy	Muscovy
Copernicus	Copernicus
depopulation	depopulasi
typology	tipologi
Christendom	agama
electrostatic	elektrostatik
heart	jantung
lingerie	BH
almost	hampir
autumn	musim gugur
extended	panjang
fast food	makanan cepat
delete	hapuskan
solidify	membeku
passenger	penumpang
guardian	wali
outer ear	telinga
sportsman	atlet
chain	rantai
warehouse	gudang
whimper	cengeng
haunt	pengajaran
divisor	unsur
toothache	sakit gigi
wadi	selokan
conditioner	kondisioner
mascara	celak
cutlass	golok
epigraphy	ilmu prasasti
tuning fork	peluit tala
inflexibility	kekakuan/keteguhan
valence	valensi
beekeeper	pemelihara lebah
argillaceous	jegang
clubhouse	kelab
Iowa	Hawkeye State
mufti	mufti
martial law	darurat militer
crystal ball	bola kristal
Mongolian	Mongolia
Telugu	Telugu
weekday	hari biasa
movement	gerakan
swell	bengkak
underneath	kolong
forward	maju
later on	sebelumnya
believe	percaya
darning needle	capung
lineage	silsilah
follow	mengikuti
pouch	kantung
imagine	melukis
stitch	jahit
increase	tambah
callous	berkulit tebal
identical	kembar
moral	batin
cattle	sapi
amateur	teman
bow and arrow	busur dan panah
arousal	kebangkitan
hinterland	pedalaman
irresistible	tidak dapat bertahan
lode	lapisan/tanggul buatan
catkin	bunga yang panjang terkulai
contraction	pengurangan
auditorium	hall/aula
minute hand	jarum panjang
confidently	secara positif
scowl	melihat dengan geram
amino	amino
sperm bank	bank sperma
Transylvania	Transilvania
iron ore	bijih besi
parka	parka
skilful	bagus
knock	ketuk
neonate	anak mérah
excavation	keluaran
addition	tambahan
pace	kecepatan
reign	pemerintah
rejoice	bergembira sekali; menggentarkan; terharu
Byzantine Empire	Kekaisaran Romawi Timur
forestall	cegah, mencegah
execution	persembahan
mastermind	dalang
indispensable	sangat dibutuhkan/harus ada
acclaim	pujian
chronicle	babad
happening	kejadian
iron out	menekan
heathen	kafir
lavishly	mewah
companionship	persahabatan
positron	positron
paladin	pelindung
Udmurt	Udmurt
tolerable	dapat tertahankan
hinge	engsel
teakettle	ketel
Bandung	Kota Bandung
spasm	kejang
collegial	alumni
collier	buruh tambang
Worcestershire sauce	kecap inggris
Novgorod	Novgorod
hydrocarbon	hidrokarbon
Proterozoic	Proterozoikum
hemisphere	belahan bumi
church	gereja
later	nanti
condescending	baik
commodity	komoditi
conceited	sombong
antiquity	lama
terminological	menurut
spear	tombak
judicial	adil
suspicion	kecurigaan
precursor	pelopor
ampere	ampere
skyline	horison
stormy	bergelora
arenaceous	berpasir
screening	penamengan
replenish	isi ulang
potation	minuman
industry	industri
afoot	berjalan kaki
cabinetmaker	tukang kayu
evolutionary	evolusiner
phosphate	fosfat
linguistics	linguistik
impressiveness	kemewahan
incompatibility	selisih
shot glass	seloki
heat of fusion	panas-lumer
puck	peri jahat
orthodontics	ortodontis
Odyssey	Odyssey
whorled	berlingkar
molar concentration	molar
antiproton	antiproton
Aesculapius	Asklepios
breathlessness	tersengal-sengal
metamorphic rock	batuan metamorf
ditch	got
backing	dukungan
distinguish	kenal
mermaid	putri duyung
offense	dosa
wood sorrel	duit
Jamaica	Jamaika
disposition	watak
devilry	kejahatan
duration	selama
crush	menumbuk
pledge	janji
actor	aktor
amoeba	amuba
forestry	kehutanan
infamous	bernama buruk
adulthood	kedewasaan
organ transplant	pindah
maker	pabrikan
boiling point	titik didih
stomp	menginjak-injak
pergola	para-para
sophisticated	canggih
