explanation	yorum
easygoing	acelesiz
grief	keder
agate	akik taşı
wise	akıllı
woozy	sarhoş
night	gece
finagle	aldatmak
hack	çentmek yarmak
arsenic	arsenik
gratuitous	bedava
dance	dans
vet	baytar
Belgrade	Belgrad
beatnik	bitnik
faience	çini
farrier	nalbant
glen	vadi
greaves	donyağı tortusu
condition	durum
apsis	elipsin tepeleri
corky	hafif
philanthropic	iyiliksever
margin	kenar ara kazanç
insulator	yalıtkan
jalousie	jaluzi
martial art	dövüş sanatı
sustainable	kalıcı
water buffalo	manda
anion	anyon
Solomon	Süleyman
shop window	vitrin
assisted suicide	ötanazi
Nubia	Nubiya
Delphinus	Yunus
Majorca	Mayorka
okapi	okapi
eudiometer	odiyometre
remit	affetmek bağışlamak
attorney	avukat
homonym	homonim
bark	havlamak
forester	ormancı
ineffable	anlatılmaz
absolution	aklanma
degree	derece
tumefy	kabarmak
downgrade	eski sürümü yüklemek
strikingly	aşırı derecede
whoop	bağırtı
froth	köpürmek
needless	gereksiz
rick	bozmak
hillside	yamaç
perpetually	daima
modifier	değiştiren şey
outwardly	dıştan
soccer player	futbolcu
marvel	mucize hayret
lob	havaya vurulan top
possibility	imkan
cannery	konserve imalâthanesi
impracticability	kullanışsızlık
fur coat	kürk
prefatory	mukaddeme kabilinden
shrike	örümcekkuşu
mugger	saldırıp soyan kimse
stock up	tedarik etmek
Ljubljana	Ljubljana
ethnological	etnolojik
Potsdam	Potsdam
topography	yerbetim
aggravate	ağırlaştırmak
signboard	tabela
Negro	zenci
spy	ajan
bronchus	akciğer borusu
superior	âlâ
cheat	aldatmak
karat	altın ayarı
bin	kömürlük
barrier	engel
seductress	ayartıcı kadın
cob	kuğu
calumny	iftira
burnish	cilalamak
notebook	defter
idiot light	deniz feneri
disservice	incitmek
emotion	duygu
adequacy	ehliyet
free kick	frikik
enthuse	gayrete gelmek
passageway	geçit
rib cage	göğüs kafesi
Gothic	Gotik
capitulation	teslim
lily of the valley	müge
inheritance	miras
epee	kılıç
pissed	kızgın
deathless	ölümsüz
jeopardize	tehlikeye koymak
Robin Hood	Robin Hood
Nagoya	Nagoya
etymological	etimolojik
Kansas City	Kansas City
nostalgic	evini veya vatanını özleyen
gingerbread	zencefilli çörek
domino effect	domino etkisi
zebra finch	zebra ispinozu
siemens	siemens
lease	kira
mercy	merhamet
commonly	sık sık
initiate	başlatmak
go for	almaya gitmek
alligator	timsah
antineutron	antinotron
side street	ara sokak
crab	yengeç
prim	çok ciddi
soft-boiled	az pişmiş
abbot	başrahip
smile	gülümsemek
personality	kişilik
wilderness	kır
decorator	dekoratör
corkscrew	burgu
dry	kuru
fetal	cenine ait
carnage	kırım
invertebrate	omurgasız
viviparous	doğurucu
electrocardiogram	elektrokardiyografi
blowjob	sakso
stove	ocak
annelid	halkalı
summarize	hülâsa etmek
needlework	iğne işi
humane	insancı
collie	iskoç çoban köpeği
optimist	iyimser
red light	kırmızı ışık
laser	lazer
microfilm	mikrofilm
sheet metal	teneke
vanadium	vanadyum
dauphin	veliaht
waviness	dalgalılık
pervade	kaplamak yayılmak
pardon	affetmek
accident	kaza
codeine	kodein
actinometer	aktinometre
joint-stock company	anonim şirket
aside	ayrı
minuet	menüet
chamois	dağ keçisi
colleague	meslektaş
bogeyman	canavar
patience	sabır
dermatology	dermatoloji
meticulous	titiz
potter	çömlekçi
consultant	danışman
waitress	garson
hamburger	hamburger
from pillar to post	ileri geri
convalescence	iyileşme
colitis	kolit
ant	karınca
blindness	körlük
nougat	koz helvası
exploitation	kullanma
blotter	kurutma kağıdı
coincidence	tesadüf
beatify	saadete ulaştırmak
knightly	şövalye gibi
tambourine	tef
Vanuatu	Vanuatu
checkroom	vestiyer
BMR	BMR
angular momentum	açısal devinirlik
phosphorescence	fosforens
hypnotist	ipnotizmacı
turbojet	turbo jet
appropriately	beceriyle
Lyme disease	Lyme hastalığı
state capital	eyalet başkenti
unable	aciz
ribald	ağzı bozuk
hussy	aşüfte
foliage	yeşillik
trigger	ateşlemek
pliant	esnek
weapon	silah
warden	bekçi
dace	bir çesit sazan
Bucharest	Bükreş
whodunit	detektif romanı
persistent	devamlı
euphuism	dilde aşırı yapmacık
diorite	diyorit
regenerate	yenilemek
fiduciary	emanet
sorption	emme
cockfight	horoz dovüşü
Spain	İspanya
emplacement	tabya
orlop	kontra tavlun
globalisation	küreselleşme
induction	memuriyete geçirme
airscrew	pervane
kelp	sap
eightfold	sekiz kat
puma	puma
jingoism	şovenizm
Vilnius	Vilnüs
Latin alphabet	Latin yazısı
Triangulum	Triangulum
Aegina	Aegina
frustrate	önlemek hüsrana uğratmak
mess up	acemice iş yapmak
rapport	karşılıklı anlayış
prevent	engellemek
gang	çete
regular	düzenli
expressway	otoyol
acid	asit
atomic mass	bağıl atom kütlesi
distrust	güvensizlik
propaedeutic	başlangıç
articulation	mafsal
overabundant	bol
lawn	çimen
hangman	cellat
coop	kodes
axiology	değer kuramı
yen	yen
bankable	emin
nil	sıfır
caffeine	kafein
survivor	kazazede
matinee	matine
prejudicial	zarar
collude	tuzak
lintel	lento
juxtaposed	yanyana
gigabyte	gigabayt
North Star	Kutup Yıldızı
Abu Dhabi	Abu Dabi
electromagnetic wave	elektromanyetik radyasyon
threefold	birde üç olan
cotton candy	pamuk şekeri
clear-sighted	akıllı
functional	işlevsel
solve	çözmek
genuine	gerçek
ingenuity	hüner
fungus	mantar
pool	havuz
solenoid	bobin
obtainable	bulunabilir
Algeria	Cezayir
seaweed	deniz yosunu
missing	eksik
generalize	genelleştirmek
Turkish bath	hamam
extremity	hudut
polite	kibar
declination	dik açıklık
definitely	kesinlikle
coca	koka ağacı
manna	kudret helvası
North Korea	Kuzey Kore
Euclidean geometry	öklid geometrisi
steroid	steroid
Sufism	tasavvuf
verifiable	tasdik olunur
tellurium	tellür
theosophy	teosofi
smart card	akıllı kart
Seth	Seth
neoliberalism	neoliberalizm
forklift	kaldırmaç
beautifully	güzel güzel
deserve	hak etmek
obvious	belli
laggard	ağır
receiver	alıcı
principle	prensip
insensate	duygusuz
fetlock	atın topuğu
beastly	ayı
persistence	devamlılık
ratafia	bademli likör
impression	izlenim
turkey	hindi
thematic	bir konuya ait
cask	varil
entirety	bütünlük
duel	düello
runner	koşucu
isotonic	izotonik
Florence	Floransa
reliability	güvenilirlik
qadi	kadı
skewer	şiş
coagulate	pıhtılaştırmak
lute	ut
cashew	mahun cevizi
mitzvah	sevap
neoclassical	neoklasik
prognathous	sivri çeneli
shorthand typist	stenograf
muriatic acid	tuzruhu
triptych	üç kanatlı resim
superstratum	üst tabaka
Jeddah	Cidde
greater scaup	karabaş patka
counteraction	nötrleştirme
cold-blooded	ısı çıkaran
Tulu	Tuluca
transubstantiation	özgeriş
spread	sürmek
dirge	ağıt
indolent	tembel
string	ip
blister	fiske
instantaneously	aniden
annul	feshetmek
free of charge	bedava
burgomaster	belediye başkanı
treatise	monografi
egg	yumurta
ambassador	büyükelçi
twice	iki kez
work out	çözmek
overpay	değerinden fazla ödemek
jellyfish	denizanası
steepness	diklik
ad-lib	doğaçtan söylemek
antagonism	husumet
whelp	encik
isosceles	eşkenar
sunstroke	güneş çarpması
blower	vantilatör
cantata	kantat
ascites	karına su dolması
snowdrift	kar yığıntısı
koala	koala
pollutant	kirleten şey
comfortable	rahat
barefoot	yalınayak
histidine	histidin
parentless	yetim kalmış
dysphagia	Yutkunma zorluğu
hatchery	yumurtlatmak
water tower	su kulesi
chipboard	sunta
evidence	delil
gazebo	köşk
entitle	ünvan vermek
evensong	akşam duası
symptomatic	semptomatik
vagina	vajina
enhancement	artırma
near	yakın
shooting	kurşuna dizme
abbreviate	kısaltmak
shrine	türbe
invisible	görünmez
bilberry	yaban mersini
year-round	devamlı
spatula	mablak
porpoise	mutur
gamble	kumar
romp	gözüpek
vocabulary	kelime hazinesi
Ecuador	Ekvador
squirt	fışkırmak
necklace	kolye
underclothes	iç çamaşırı
superintendent	yönetici
fateful	kaçınılmaz
syncopate	kelimeyi ortasından kısaltmak
hallucinate	kuruntu
tenfold	ondalık
episcopacy	piskoposluk
viand	yemek
herring gull	kuzey gümüş martı
North Africa	Kuzey Afrika
Perth	Perth
Astana	Astana
black magic	kara büyü
fastidious	titiz
advertisement	ilan
Shreveport	ABD
whine	inlemek
cadence	ahenk
hearth	ocak
confute	aksini ispat etmek
Asian	Asyalı
workshop	atölye
footstool	ayak taburesi
validation	doğrulama
nutrient	besin
cycling	bisiklet
dotage	bunaklık
pylon	pilon
multicellular	çok hücreli
air hole	delik
windowsill	denizlik
apostatize	dininden dönmek
diplomacy	diplomasi
typesetter	mürettip
prepare	hazırlamak
goldilocks	düğünçiceği
dittany	geyikotu
sapphire	safir
Paschal Lamb	Hazreti İsa
annually	her yıl
corner kick	köşe vuruşu
crochet	kroşe
chiropractic	masajla tedavi usülü
mandolin	mandolin
radioactivity	radyoaktivite
symbolic	simgesel
recur	tekerrür etme
smoker	tütün
fluffy	tüylü
dolphin	yunus
facelift	güncelleştirme
benign tumor	iyi huylu tümör
standing wave	durur dalga
maritime	denizciliğe ait
brother	kardeş
wont	adet
acne	akne
rig	donatmak
secular	laik
stanza	kıta
rumble	gümbürtü
poach	batak
waistband	bel
howler	budalaca yanlışlık
valley	vadi
broadcast	yayın
dynamic	dinamik
yore	dün
wherever	her nerede
charwoman	hizmetçi
radiate	ışımak
Guangzhou	kanton
midwinter	karakış
Coptic	Kıpti
omicron	omikron
department store	çok katlı mağaza
spikenard	hint sümbülü
radioactive waste	radyoaktif atık
bouillabaisse	şaraplı balık çorbası
hydra	suyılanı
stardom	yıldızlık
Tenerife	Tenerife
frame of reference	referans sistemi
Astrakhan	Astrahan
hyperglycemia	hiperglisemi
place	yer
cruelty	gaddarlık
hoi polloi	ahali
encounter	buluşma
abstain	çekinmek
angina	boğak
reconnoiter	araştırma
as a matter of fact	aslında
eject	fırlatmak
espy	bakmak
ball	top
preface	ön söz
feast	ziyafet
conjugation	çekim
ice skate	buz pateni
brandish	çalkalamak
bearded	sakallı
swallowtail	çatal kuyruk
deadlock	çıkmaza girmek
polyphase	çok fazlı
scavenger	leş yiğen hayvan
zygomatic bone	elmacık kemiği
oblivion	ilgisizlik
abnegation	inkâr
ill-mannered	kaba
riverside	kıyı
assessment	tahmin
twit	kızdırmak
armband	pazıbent
paganism	paganlık
Maghreb	Mağrip
aetiology	etiyoloji
binary code	ikili kod
terminate	bitmek
lady	bayan
albino	albinos
reveal	açığa vurmak
dumb	aptal
roast	kızarmış
indifferent	önemsiz
allegoric	alegorik
kid	çocuk
identically	aynen
adhesion	yapışma
department	bölüm
bandit	haydut
bath	küvet
guard dog	bekçi köpeği
plural	çoğul
stout	cesaret
outspoken	candan
wallpaper	duvar kâğıdı
dozen	düzine
annuity	emeklilik maaşı
babushka	eşarp
by and large	genellikle
rhinoceros	gergedan
wake-up call	hatırlatıcı şey
statistician	istatistikçi
husk	kabuğunu soymak
papacy	Katolik kilisesi reisliği
flash flood	su baskını
ladybug	uğur böceği
machismo	şovenizm
Menshevik	Menşevik
overpressure	aşırı basınç
rationality	akla uygunluk
priggish	sert bakışlı
hexagonal	altıgen şeklinde
divulge	açığa vurmak
clarion	açık
offload	açıklamak
switch on	açmak
criminal	suçlu
assets	servet
singe	alazlamak
reminiscence	hatırlama
inform	bildirmek
mummy	mumya
substantially	esasen
fur seal	ayıbalığı
Bavaria	Bavyera
antechamber	koridor
Republic of Belarus	Belarus Cumhuriyeti
cut up	biçmek
half-baked	bitmemiş
violable	bozulması mümkün
sideboard	büfe
corrugate	buruşmak
felonious	canice
ceramics	çini
nightcap	takke
solar system	güneş sistemi
castle	kale
unexcited	heyecansız
manageable	idare edilir
Scotland	İskoçya
carburetor	karbüratör
counterplot	karşı tedbir
taffrail	kıç küpeştesi
forgiving	kolay yatışır
protected	korumalı
globule	küçük yuvarlak
laity	meslekten olmayanlar
harelip	tavşandudağı
Republic of China	Çin Cumhuriyeti
pack animal	yük beygiri
soaring	yükselen
GUI	GUI
interactive	etkileşimli
Mari	Mari dili
right ascension	sağ açıklık
money laundering	para aklama
luthier	luthier
revolve	dönmek fırıldak
Celtic	Keltçe
Colombian	Kolombiyalı
insular	adada yaşayan
stub	kütük
importance	önem
burn	yanmak
shark	köpek balığı
will	vasiyet
rearguard	artçı
prototype	prototip
ligament	eklem
cyclamen	siklamen
herring	ringa
nutcracker	fındıkkıran
ascension	çıkma
magnanimously	çok
nuptial	düğün nikah
ducat	duka altını
syllable	hece
photocell	fotosel
brick	tuğla
ado	gürültü
odour	koku
elation	haz
soviet	sovyet
capsular	kapsül
meddle	karışmak
appreciative	kıymet bilen
coccyx	kuyruk sokumu
rusticity	köylülük
micelle	misel
inhabitant	nüfus
quicklime	kalsiyum oksit
tuba	tuba
Peloponnese	Mora Yarımadası
beriberi	beriberi
duelist	düellocu
tribology	triboloji
Brisbane	Brisbane
tesla	tesla
Italian	İtalyanca
bevel	açı
procrastinate	geciktirmek
vomit	kusmak
revert	dönmek
decor	dekor
modest	mütevazı
ammeter	ampermetre
property	mal
tireless	yorulmaz
Canberra	Canberra
incoherence	bağdaşmazlık
terminal	uç
end up	bitirmek
section	parça
buff	çıplak
poncho	panço
majuscule	büyük harf
Dardanelles	Çanakkale Boğazı
siren	canavar
ogre	dev
Gabriel	Cebrail
jewel	cevher
give way	teslim etmek
dervish	derviş
own	kendi
campus	yerleşke
ethane	etan
technical	teknik
jury	jüri
bagpiper	kavalcı
take on	meşgul etmek
nark	narkotik ajanı
niacin	nikotinik asit
Slovenia	Slovenya
creepy	sürünen
epoxy	tutkal
Nostradamus	Nostradamus
magnetic field	manyetik alan
anticipated	belirlenmiş
psychiatric	psikiyatrik
behavioral	davranışsal
diverse	çeşitli
bitter	acı
grub	kurtçuk
agnostic	agnostik
composite	alaşım
admirer	hayran
license	lisans
languorous	baygın
blouse	bluz
misappropriate	emanete hıyanet etmek
tatter	paçavra
vigilance	dikkat
theocracy	teokrasi
imbibe	emmek
dreadfully	fevkalade
interview	görüşme
riposte	hamle
admonition	ihtar
billboard	ilan panosu
unanimity	ittifak
retch	kusma
hallow	kutsamak
torchlight	meşale ışığı
killjoy	neşe bozan kimse
mortality rate	ölüm oranı
participle	ortaç
consensus	oybirliği
hyacinth	sümbül
urceolate	testi şeklindeki
vouch	teyit etmek
triple	üçlemek
vitamin	vitamin
sales tax	satış vergisi
topology	topoloji
Eastern Standard Time	Kuzey Amerika Doğu Standart Saati
anecdotal	fıkra ile ilgili
reproductive system	üreme sistemi
tea ceremony	çay töreni
BMI	VKİ
denote	seçmek
quit	ayrılmak
tramp	serseri
coin	demir para
discharge	tahliye etmek
meek	alçakgönüllü
treat	davranmak
purgatory	mahşer
scale	kantar
rampant	başıboş
ale	bira
gamut	gam
canvas	yelken
mobile phone	cep telefonu
skinflint	cimri kimse
slag	dışık
addendum	ek
cereal	tahıl
economics	iktisat
glandular	glandulous gudde gibi
video	görüntü
harmonium	harmonyum
daisy	papatya
hairline	ince çizgi
cranial	kafatasına ait
leafless	kahrolası
ominous	uğursuz
Moldova	Moldova
playpen	park
swede	şalgam
tourniquet	turnike
sleepwalker	uyurgezer
Asclepius	Asklepios
polyester	polyester
lichen	liken
serial killer	seri katil
creationism	yaratışçılık
argue	tartışmak
working	çalışma
gravy	etsuyu
Adam	Adem
scourge	kamçı
pertinent	epeyce
allegory	alegori
accede	askere almak
alienation	yabancılaşma
pulse	nabız
start	başlamak
a lot	çok
knack	beceri
beige	bej
tyranny	zulüm
tow	çekmek
farmhouse	çiftlik evi
logjam	engel
toast	şerefe
felon	suçlu cinayet ağır suç
defeasible	feshedilebilir
urinary bladder	idrar torbası
udder	inek memesi
insignia	nişanlar
Trento	Trento
ivy	sarmaşık
crampon	kanca
theorem	teorem
perplexed	şaşırmış
titter	kıkırdamak
keyboard	klavye
cuspid	köpekdişi
corolla	korol
millisecond	milisaniye
tampion	top ağzı tapası
viewfinder	vizör
behind	arkasından
denude	çıplaklaştırmak
drivel	saçmalamak
invasion	saldırı
fable	fabl
ready	hazır
atom	atom
stampede	bozgun
emolument	ücret
ditto	kopya
prime minister	başbakan
frustration	bıkkınlık
mansion	konak
hematite	hematit
loan	borç
black-eyed pea	börülce
license plate	araç plakası
charitable	hayırsever
taffy	dalkavukluk
pullulate	dallanıp budaklanmak
undersea	denizaltı
carpenter	marangoz
delicacy	hassasiyet
unvoiced	ifade edilmemiş
disyllabic	iki heceli
source code	kaynak kodu
boreal	kuzey
social class	meslek
purebred	safkan
diskette	disket
pretender	hak iddia eden
Sea of Japan	Japon Denizi
Canopus	Canopus
wavelike	dalgalanan
war crime	savaş suçu
astringent	kanamayı durdurucu
strong	güçlü
appointment	atama
gift	kabiliyet
mission	görev
winnow	yaba
boy	oğlan
wildfowl	av kuşu
euro	avro
sanction	müeyyide
baseball	beyzbol
vertebrate	omurgalı
fictile	biçime girer
stock exchange	borsa
muffler	eşarp
tartan	bu kumaştan yapılan
liable	hassas
madness	delilik
duds	elbise
snapshot	fotoğraf
manufacturer	fabrikatör
filtrate	süzmek
chicory	hindiba
intimidation	gözdağı
throne	taht
epigram	hicviye
assertive	iddialı
scroll	kaydırmak
puffball	kurtmantarı
barter	takas
Norway	Norveç
arrow	ok
radial	radyal
daybreak	şafak
unipolar	tek kutuplu
Capricorn	Oğlak
Lyra	Çalgı
Cardiff	Cardiff
Eos	Eos
Antiguan	Antigualı
cordierite	ıyolit
wide	geniş
camp	kamp
measly	cimri
elegy	ağıt
lie	yalan
pretence	bahane iddia
schoolchild	öğrenci
mainly	asıl
stoker	ateşçi
cinch	kavrama
nuke	atom bombası
easement	azalma
pepper shaker	biberlik
tart	ekşi
repose	huzur
tacking	donatım
stony	sert
utilitarianism	faydacılık
photoelectric cell	fotosel
bilingual	ikidilli
acquiescence	kabul
femininity	kadınlık
counterpoint	kontrpuan
drawers	külot
emancipation	kurtarma
masturbation	mastürbasyon
historic	tarihsel
sic	saldırtmak
sulfide	sulfid
systole	sistol
king penguin	kral penguen
Neapolitan	Napolice
urinary tract	boşaltım sistemi
Colossus of Rhodes	Rodos Heykeli
Chennai	Chennai
logarithmic	logaritmik
recapitulation	yeniden özetleme
malapropism	sözcükleri uygunsuzca kullanma
brim	kenar
amusing	acayip
zany	çatlak
completely	tamamen
harmony	uyum
sewage	atık su
stir	kımıldamak
bull	boğa
veil	baş örtüsü
bungler	beceriksiz kimse
imprecate	lanet okumak
consideration	bedel
chameleon	bukalemun
fiendish	gaddar
tractor	traktör
fortunately	hamdolsun çok şükür
healer	doktor
chill	soğuk algınlığı üşütme
quadrilateral	dörtgen
wash up	bulaşık yıkmak
Etruscan	Etrüsk
mapping	haritacılık
aviator	havacı
bilinear	iki çizgisi olan
cannula	kanül
pillbox	küçük istihkam
Olympus	Olympos
demobilize	terhis etmek
cold sore	uçuk
exorcist	üfürükçü
dining car	vagon restoran
Akan	Akan
Hephaestus	Hephaistos
Erebus	Erebus
expectoration	tükürme
limbic system	hipotalamus
biotechnology	biyoteknoloji
libretto	opera metni
raw	ham
aftertaste	ağızda kalan lezzet
reasonable	makul
incest	ensest
acropolis	akropolis
delusional	hayalî
attainment	edinme
action	eylem
fiasco	fiyasko
immature	olgunlaşmamış
index	indeks
hop	şerbetçiotu
vapour	su buharı
icebreaker	buzkıran
rupture	kopma
jawbone	çene kemiği
enthrone	cülus
convertible	kabriyole
abyss	uçurum
dolomite	dolomi
qualified	ehliyetli
detract	eksiltmek
flashback	geriye dönüş
hatefulness	iğrenme
